REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Mana Vault [ME4]                                   6.35      7.8       bifidus[1] ComparePrices[1]
Strip Mine [ME4]                                   6.55      8         supernova01[1]
Plateau [ME4]                                      6.75      8.3       pisiiki3[1] mteamtester[1]
Candelabra of Tawnos [ME4]                         6.8       8.35      pisiiki2[1] ComparePrices[3]
Maze of Ith [ME4]                                  7.3       8.95      tina16[1]
Savannah [ME4]                                     8.8
Demonic Tutor [ME4]                                10        11.6      ComparePrices[1]
Taiga [ME4]                                        10.9
Badlands [ME4]                                     12.1      13.9      mteamtester[1]
Library of Alexandria [ME4]                        12.1      13.9      ComparePrices[2]
Scrubland [ME4]                                    13.5      15.6      supernova01[1] mteamtester[1] pisiiki2[2]
Volcanic Island [ME4]                              17.5      20        supernova02[1] bifidus[1]
Tundra [ME4]                                       21.75
Tropical Island [ME4]                              22
Mishra's Workshop [ME4]                            22.5      26        supernova02[1]
Bayou [ME4]                                        25.25     28        supernova01[1]
Underground Sea [ME4]                              37.5

=== Elspeth vs Tezzeret === [Total Buy/Sell Value: 4/5] ==========================================================================================

Angel of Salvation [DDF]                           0.012     0.028     ComparePrices[4] pisiiki2[2]
Catapult Master [DDF]                              0.038     0.07      pisiiki3[1] supernova01[3]
Loyal Sentry [DDF]                                 0.125     0.175     pisiiki2[2]
Pentavus [DDF]                                     0.19      0.26      ComparePrices[2] supernova01[4]
Rustic Clachan [DDF]                               0.28      0.38      supernova02[1]
Razormane Masticore [DDF]                          0.3       0.4       bifidus[1]
Triskelion [DDF]                                   0.38      0.5       supernova02[2]
Crusade [DDF]                                      0.46
Master of Etherium [DDF]                           0.66      0.88      ComparePrices[1] pisiiki2[4] mteamtester[1]
Steel Overseer [DDF]                               1.75

=== Scars of Mirrodin === [Total Buy/Sell Value: 89/106] =========================================================================================

Tunnel Ignus [SOM]                                 0.008     0.018     bifidus[1]
Inexorable Tide [SOM]                              0.01      0.022     bifidus[1] ComparePrices[1]
Shape Anew [SOM]                                   0.01      0.024     bifidus[1]
Engulfing Slagwurm [SOM]                           0.012     0.026     ComparePrices[1] bifidus[2] supernova01[1]
Tower of Calamities [SOM]                          0.012     0.026     pisiiki3[3]
Dissipation Field [SOM]                            0.012     0.026     bifidus[2] supernova02[2]
Livewire Lash [SOM]                                0.012     0.026     bifidus[1]
Kuldotha Phoenix [SOM]                             0.012     0.026     bifidus[3]
Strata Scythe [SOM]                                0.012     0.028     pisiiki3[1]
Contagion Engine [SOM]                                       0.028     supernova02[2] pisiiki3[1] bifidus[4]
Kemba, Kha Regent [SOM]                            0.012     0.028     bifidus[1] mteamtester[1]
Molten Psyche [SOM]                                          0.03      ComparePrices[1] tina16[1] pisiiki3[2] supernova02[1] bifidus[2]
Putrefax [SOM]                                     0.014
Ezuri's Brigade [SOM]                              0.014     0.032     pisiiki3[1]
Carnifex Demon [SOM]                               0.014     0.032     supernova02[1]
Myr Propagator [SOM]                               0.016     0.032     bifidus[1]
Argent Sphinx [SOM]                                0.016     0.034     pisiiki3[1] supernova02[1] pisiiki2[2]
Cerebral Eruption [SOM]                            0.016     0.034     supernova02[1] ComparePrices[1]
True Conviction [SOM]                              0.016     0.034     supernova01[2] mteamtester[1] ComparePrices[2]
Precursor Golem [SOM]                              0.018     0.036     supernova01[1]
Prototype Portal [SOM]                             0.018     0.038     ComparePrices[3] bifidus[1] pisiiki2[1] supernova01[1]
Hoard-Smelter Dragon [SOM]                         0.018     0.038     mteamtester[1]
Sunblast Angel [SOM]                               0.018     0.038     ComparePrices[2]
Myr Battlesphere [SOM]                             0.02      0.04      tina16[1] supernova02[1] mteamtester[1] pisiiki2[1] bifidus[2]
Memoricide [SOM]                                   0.02      0.04      supernova02[1]
Kuldotha Forgemaster [SOM]                         0.02      0.04      supernova01[1]
Hand of the Praetors [SOM]                         0.02
Myr Reservoir [SOM]                                0.02      0.042     mteamtester[1] tina16[1] bifidus[2]
Spikeshot Elder [SOM]                              0.02
Nim Deathmantle [SOM]                              0.022     0.042     supernova01[1] ComparePrices[2]
Darksteel Juggernaut [SOM]                         0.022
Venser's Journal [SOM]                             0.026     0.05      bifidus[3] supernova01[1]
Semblance Anvil [SOM]                              0.028     0.052     supernova01[1] bifidus[1] pisiiki2[1]
Chimeric Mass [SOM]                                0.028
Ezuri, Renegade Leader [SOM]                       0.028     0.054     supernova02[1] pisiiki3[1]
Steel Hellkite [SOM]                                         0.054     mteamtester[1] supernova01[1] pisiiki2[1] supernova02[1] bifidus[3]
Asceticism [SOM]                                   0.03      0.056     ComparePrices[1] mteamtester[1] supernova02[2]
Painful Quandary [SOM]                             0.03      0.058     supernova01[4] ComparePrices[2]
Necrotic Ooze [SOM]                                0.03      0.058     pisiiki3[1] ComparePrices[1]
Argentum Armor [SOM]                               0.032     0.058     pisiiki2[1]
Grand Architect [SOM]                              0.032
Grindclock [SOM]                                   0.034     0.064     supernova01[1] pisiiki3[1] bifidus[1]
Tempered Steel [SOM]                               0.034
Leonin Arbiter [SOM]                               0.04
Mimic Vat [SOM]                                    0.052
Genesis Wave [SOM]                                 0.066
Ratchet Bomb [SOM]                                 0.165
Etched Champion [SOM]                              0.17      0.23      bifidus[1]
Darkslick Shores [SOM]                             0.44
Seachrome Coast [SOM]                              0.52
Quicksilver Gargantuan [SOM]                       0.7
Molten-Tail Masticore [SOM]                        0.72      0.96      pisiiki2[1] supernova02[1]
Razorverge Thicket [SOM]                           0.72
Copperline Gorge [SOM]                             0.74
Blackcleave Cliffs [SOM]                           1.1
Liege of the Tangle [SOM]                          1.1       1.4       mteamtester[1] bifidus[1]
Indomitable Archangel [SOM]                        1.7
Platinum Emperion [SOM]                            2.15      2.55      pisiiki2[1] ComparePrices[1] mteamtester[1]
Geth, Lord of the Vault [SOM]                      2.55      3         pisiiki3[1]
Koth of the Hammer [SOM]                           3.6
Mindslaver [SOM]                                   3.7       4.55      supernova01[1]
Venser, the Sojourner [SOM]                        4.15      5.1       pisiiki3[1]
Elspeth Tirel [SOM]                                4.15      5.1       supernova01[1] pisiiki3[1]
Skithiryx, the Blight Dragon [SOM]                 4.2
Sword of Body and Mind [SOM]                       4.85      6         supernova02[2] tina16[1] supernova01[1]
Lux Cannon [SOM]                                   6         7.4       pisiiki3[1]
Wurmcoil Engine [SOM]                              11.1
Mox Opal [SOM]                                     34        37.75     pisiiki2[3]

=== Magic 2011 === [Total Buy/Sell Value: 39/48] =================================================================================================

Wild Evocation [M11]                               0.008     0.018     bifidus[1] ComparePrices[2] mteamtester[2]
Necrotic Plague [M11]                                        0.02      supernova02[1] ComparePrices[4] bifidus[1] pisiiki3[1]
Conundrum Sphinx [M11]                                       0.022     supernova01[1] supernova02[1] ComparePrices[4]
Magma Phoenix [M11]                                          0.024     mteamtester[1] ComparePrices[4] supernova01[1]
Leyline of Vitality [M11]                          0.01      0.026     mteamtester[2]
Jinxed Idol [M11]                                  0.012     0.026     bifidus[1]
Brittle Effigy [M11]                               0.012
Hoarding Dragon [M11]                              0.012     0.028     pisiiki3[1] ComparePrices[3] supernova02[2]
Protean Hydra [M11]                                0.014     0.03      bifidus[2] ComparePrices[1]
Cyclops Gladiator [M11]                                      0.032     ComparePrices[3] pisiiki2[1] supernova01[1] tina16[2] pisiiki3[1]
Destructive Force [M11]                            0.016
Nantuko Shade [M11]                                0.018     0.038     bifidus[1] supernova01[1]
Leyline of Punishment [M11]                        0.016     0.032     ComparePrices[3] pisiiki3[2]
Phylactery Lich [M11]                              0.016     0.034     mteamtester[2]
Angelic Arbiter [M11]                              0.016     0.034     ComparePrices[3]
Reverberate [M11]                                  0.016     0.034     supernova02[1] supernova01[2]
Royal Assassin [M11]                               0.016     0.034     supernova01[1] mteamtester[2] ComparePrices[1]
Ancient Hellkite [M11]                             0.018     0.036     ComparePrices[1]
Elvish Archdruid [M11]                             0.018     0.036     tina16[3]
Mitotic Slime [M11]                                0.018     0.038     ComparePrices[4] supernova02[1] bifidus[1]
Stormtide Leviathan [M11]                          0.018     0.038     ComparePrices[2] supernova01[1] mteamtester[1] bifidus[1]
Temple Bell [M11]                                  0.02
Redirect [M11]                                     0.02      0.038     ComparePrices[3]
Mystifying Maze [M11]                              0.02      0.04      mteamtester[4] ComparePrices[2]
Overwhelming Stampede [M11]                        0.026     0.05      supernova01[1] ComparePrices[1]
Merfolk Sovereign [M11]                            0.026     0.05      supernova01[1] bifidus[1]
Haunting Echoes [M11]                              0.026     0.05      pisiiki2[1]
Dark Tutelage [M11]                                0.028
Mass Polymorph [M11]                               0.028
Goblin Chieftain [M11]                             0.028
Traumatize [M11]                                   0.028     0.054     tina16[1] supernova02[1]
Triskelion [M11]                                   0.03
Sword of Vengeance [M11]                           0.032     0.06      bifidus[1] mteamtester[1]
Vengeful Archon [M11]                              0.032
Day of Judgment [M11]                              0.034
Silence [M11]                                      0.034     0.064     ComparePrices[1]
Leyline of Anticipation [M11]                      0.044     0.078     pisiiki2[1] tina16[1] pisiiki3[1]
Knight Exemplar [M11]                              0.05      0.088     mteamtester[4]
Captivating Vampire [M11]                          0.098     0.135     mteamtester[4]
Clone [M11]                                                  0.135     ComparePrices[1] supernova02[1] bifidus[1] mteamtester[1] tina16[3]
Honor of the Pure [M11]                            0.115
Chandra Nalaar [M11]                               0.13      0.175     supernova02[1] supernova01[1]
Birds of Paradise [M11]                            0.135     0.185     pisiiki2[3]
Demon of Death's Gate [M11]                        0.175     0.24      pisiiki3[1]
Time Reversal [M11]                                0.2       0.27      ComparePrices[1] bifidus[1]
Gaea's Revenge [M11]                               0.22
Leyline of the Void [M11]                          0.25
Fauna Shaman [M11]                                 0.3
Glacial Fortress [M11]                                       0.48      supernova01[2] tina16[1] ComparePrices[4] supernova02[1]
Dragonskull Summit [M11]                           0.38
Drowned Catacomb [M11]                             0.44      0.6       tina16[2]
Steel Overseer [M11]                               0.46
Obstinate Baloth [M11]                             0.48
Ajani Goldmane [M11]                               0.5
Platinum Angel [M11]                               0.7
Sunpetal Grove [M11]                               0.72
Liliana Vess [M11]                                 0.78
Frost Titan [M11]                                  1.05
Rootbound Crag [M11]                                         1.45      pisiiki3[2] supernova01[1] tina16[1] supernova02[1] pisiiki2[1] ComparePrices[1]
Garruk Wildspeaker [M11]                           1.35
Jace Beleren [M11]                                 1.5       1.85      pisiiki2[1]
Inferno Titan [M11]                                1.75      2.15      ComparePrices[1]
Sun Titan [M11]                                    1.85
Grave Titan [M11]                                  2.6
Leyline of Sanctity [M11]                          3         3.5       bifidus[1]
Serra Ascendant [M11]                              3.1
Baneslayer Angel [M11]                             3.3       3.9       pisiiki3[1]
Primeval Titan [M11]                               11.4      13.2      ComparePrices[1] bifidus[1]

=== Urza's Legacy === [Total Buy/Sell Value: 28/35] ==============================================================================================

Pyromancy [UL]                                     0.01      0.022     pisiiki2[1] mteamtester[1]
Eviscerator [UL]                                   0.012     0.028     pisiiki3[4] supernova02[1] ComparePrices[3]
Brink of Madness [UL]                              0.014     0.03      tina16[1] ComparePrices[3] pisiiki2[2]
Hidden Gibbons [UL]                                0.016     0.034     ComparePrices[4]
Lurking Skirge [UL]                                0.018     0.036     pisiiki3[1] tina16[4] pisiiki2[3] supernova02[2]
Opal Avenger [UL]                                  0.018     0.038     pisiiki2[2]
Thran Lens [UL]                                    0.02
Rivalry [UL]                                       0.02      0.04      ComparePrices[1]
Phyrexian Plaguelord [UL]                          0.02      0.04      ComparePrices[1] pisiiki2[1]
Shivan Phoenix [UL]                                0.02      0.042     supernova02[2] ComparePrices[1]
Fleeting Image [UL]                                0.026     0.05      pisiiki2[1] ComparePrices[1]
Thran Weaponry [UL]                                0.028     0.052     bifidus[1]
Anthroplasm [UL]                                   0.028     0.052     pisiiki2[1]
Delusions of Mediocrity [UL]                       0.028     0.054     bifidus[2] supernova02[4]
Urza's Blueprints [UL]                             0.03      0.056     mteamtester[1] tina16[1]
Damping Engine [UL]                                0.03      0.056     tina16[4] supernova02[1] ComparePrices[2]
Molten Hydra [UL]                                  0.03      0.058     pisiiki2[1] pisiiki3[1] tina16[1]
Second Chance [UL]                                 0.03      0.058     tina16[3]
Purify [UL]                                        0.034     0.062     bifidus[1] pisiiki2[2]
Ring of Gix [UL]                                   0.034     0.062     pisiiki2[1]
Subversion [UL]                                    0.034
Blessed Reversal [UL]                              0.034     0.064     pisiiki3[1] bifidus[1] ComparePrices[1]
Might of Oaks [UL]                                 0.034     0.064     supernova02[1] ComparePrices[1] pisiiki3[1] mteamtester[1]
Impending Disaster [UL]                            0.034     0.064     tina16[1]
Wheel of Torture [UL]                              0.036     0.068     supernova02[4]
Beast of Burden [UL]                               0.036
Archivist [UL]                                     0.044     0.078     supernova02[1]
Scrapheap [UL]                                     0.044     0.08      ComparePrices[1] bifidus[1] tina16[3]
Iron Maiden [UL]                                   0.052     0.094     supernova01[2] supernova02[1]
Crawlspace [UL]                                    0.058     0.1       ComparePrices[1]
Quicksilver Amulet [UL]                            0.066     0.115     mteamtester[2]
Radiant, Archangel [UL]                            0.058     0.105     supernova02[3] ComparePrices[1] pisiiki3[1]
Planar Collapse [UL]                               0.086     0.12      ComparePrices[1] mteamtester[1] supernova02[2] bifidus[2]
Weatherseed Treefolk [UL]                          0.1       0.14      tina16[1] pisiiki2[1] pisiiki3[3] mteamtester[1]
Multani, Maro-Sorcerer [UL]                        0.16
No Mercy [UL]                                      0.82      1.1       pisiiki2[1] supernova02[1]
Palinchron [UL]                                    0.96      1.2       supernova02[1] bifidus[1]
Deranged Hermit [UL]                               1.15      1.45      tina16[1] ComparePrices[2] pisiiki2[2]
Memory Jar [UL]                                    1.85      2.2       pisiiki3[1]
Defense Grid [UL]                                  1.85
Defense of the Heart [UL]                          2.3
Karmic Guide [UL]                                  2.65      3.15      pisiiki2[1]
Goblin Welder [UL]                                 5.55      6.85      ComparePrices[1] pisiiki3[1]
Grim Monolith [UL]                                 10.2      11.8      ComparePrices[3] supernova01[1]

=== Phyrexia vs The Coalition === [Total Buy/Sell Value: 12/14] ==================================================================================

Phyrexian Colossus [DDE]                           0.094     0.13      supernova02[1]
Phyrexian Plaguelord [DDE]                         0.1       0.14      ComparePrices[1] tina16[1]
Treva, the Renewer [DDE]                           0.16      0.22      supernova01[1]
Phyrexian Processor [DDE]                          0.24      0.33      bifidus[1] ComparePrices[1]
Gerrard Capashen [DDE]                             0.29
Darigaaz, the Igniter [DDE]                        0.29      0.39      supernova01[1] tina16[1]
Rith, the Awakener [DDE]                           0.5       0.68      supernova02[1] ComparePrices[2] bifidus[1]
Living Death [DDE]                                 2.65      3.15      supernova01[1] supernova02[2]
Phyrexian Arena [DDE]                              3.5       4.15      pisiiki2[2] supernova02[1] ComparePrices[1]
Coalition Relic [DDE]                              4.3       5.3       supernova02[1]

=== Rise of the Eldrazi === [Total Buy/Sell Value: 91/107] =======================================================================================

Hellion Eruption [ROE]                             0.01      0.022     mteamtester[1] bifidus[2] tina16[2] supernova01[1]
Magmaw [ROE]                                       0.01      0.024     supernova01[2] ComparePrices[1]
Dormant Gomazoa [ROE]                              0.01      0.024     supernova01[1]
Repay in Kind [ROE]                                0.012
Pestilence Demon [ROE]                             0.014     0.03      supernova01[1] pisiiki2[1] ComparePrices[1]
Baneful Omen [ROE]                                 0.014     0.03      mteamtester[1] bifidus[1] pisiiki2[3] supernova01[1]
Rage Nimbus [ROE]                                  0.016     0.034     tina16[2] bifidus[1] ComparePrices[1]
Angelheart Vial [ROE]                              0.016     0.034     supernova01[1] bifidus[1]
Tajuru Preserver [ROE]                             0.016     0.034     tina16[3] bifidus[1] pisiiki2[1]
Keening Stone [ROE]                                0.016     0.034     pisiiki2[2]
Near-Death Experience [ROE]                        0.018     0.036     bifidus[1] supernova02[1]
Tuktuk the Explorer [ROE]                          0.018     0.036     tina16[2]
Thought Gorger [ROE]                               0.018
Gravitational Shift [ROE]                          0.018     0.036     bifidus[3] tina16[1]
Consume the Meek [ROE]                             0.02      0.038     mteamtester[1]
Umbra Mystic [ROE]                                 0.02      0.038     ComparePrices[1] mteamtester[1] bifidus[2] tina16[2]
Sphinx-Bone Wand [ROE]                             0.02      0.04      bifidus[1]
Drana, Kalastria Bloodchief [ROE]                  0.02      0.04      supernova02[2]
Conquering Manticore [ROE]                         0.02
Lord of Shatterskull Pass [ROE]                    0.022     0.042     bifidus[4] tina16[1]
Mul Daya Channelers [ROE]                          0.022     0.044     supernova01[1]
World at War [ROE]                                 0.022
Gigantomancer [ROE]                                0.022     0.044     tina16[1] pisiiki2[1] supernova01[1] bifidus[2]
Recurring Insight [ROE]                            0.022     0.044     supernova01[1]
Surrakar Spellblade [ROE]                          0.022     0.044     tina16[1] bifidus[1]
Sphinx of Magosi [ROE]                             0.024     0.046     pisiiki2[1]
Kazandu Tuskcaller [ROE]                           0.026     0.05      ComparePrices[1] pisiiki2[1] tina16[1]
Mortician Beetle [ROE]                             0.026     0.052     ComparePrices[1] supernova01[1]
Disaster Radius [ROE]                              0.028
Momentous Fall [ROE]                               0.028     0.054     pisiiki3[1] supernova02[2]
Renegade Doppelganger [ROE]                        0.028
Hedron Matrix [ROE]                                0.03      0.056     bifidus[1]
Echo Mage [ROE]                                    0.03
Hedron-Field Purists [ROE]                                   0.056     ComparePrices[3] bifidus[1] pisiiki2[1] supernova01[1] pisiiki3[1]
Gelatinous Genesis [ROE]                           0.03
Deathless Angel [ROE]                              0.03
Eldrazi Temple [ROE]                               0.03
Lightmine Field [ROE]                              0.032     0.06      supernova02[1] bifidus[2]
Nomads' Assembly [ROE]                             0.034     0.062     bifidus[1]
Devastating Summons [ROE]                          0.036     0.066     tina16[1]
Realms Uncharted [ROE]                             0.038     0.072     supernova01[1] bifidus[2] supernova02[1]
Training Grounds [ROE]                             0.044     0.082     ComparePrices[1] supernova02[3] supernova01[1]
Bear Umbra [ROE]                                   0.046     0.082     mteamtester[1] tina16[1] bifidus[1]
Spawnsire of Ulamog [ROE]                          0.05      0.09      supernova01[1]
Consuming Vapors [ROE]                             0.09      0.125     pisiiki3[4]
Hellcarver Demon [ROE]                             0.195
It That Betrays [ROE]                              0.2       0.28      pisiiki3[3] mteamtester[1]
Guul Draz Assassin [ROE]                           0.24      0.32      supernova01[1]
Awakening Zone [ROE]                               0.25      0.33      pisiiki3[1]
Eldrazi Conscription [ROE]                         0.31
Cast Through Time [ROE]                            0.4
Coralhelm Commander [ROE]                          0.5
Student of Warfare [ROE]                           0.54
Kor Spiritdancer [ROE]                             0.94      1.15      bifidus[3]
Kargan Dragonlord [ROE]                            1.25      1.55      supernova02[1] tina16[1] pisiiki3[2]
Sarkhan the Mad [ROE]                              1.3       1.65      pisiiki2[2]
Transcendent Master [ROE]                          1.4
Khalni Hydra [ROE]                                 1.85      2.2       supernova01[1] mteamtester[1]
Splinter Twin [ROE]                                1.9
Nirkana Revenant [ROE]                                       2.5       ComparePrices[1] supernova01[1] tina16[1] pisiiki2[1] bifidus[2] supernova02[1]
Lighthouse Chronologist [ROE]                      2.35      2.75      pisiiki2[1] supernova01[1]
Gideon Jura [ROE]                                  3.7       4.55      pisiiki2[1] ComparePrices[3]
Kozilek, Butcher of Truth [ROE]                    9.95      11.4      tina16[2] supernova01[2] ComparePrices[1]
All Is Dust [ROE]                                  10.6      12.2      pisiiki3[1] mteamtester[1] tina16[1] ComparePrices[1]
Vengevine [ROE]                                    10.7      12.3      mteamtester[1] supernova01[1]
Emrakul, the Aeons Torn [ROE]                      10.9      12.6      pisiiki3[1] tina16[1]
Ulamog, the Infinite Gyre [ROE]                              13.5      pisiiki3[1] bifidus[1] supernova01[1] ComparePrices[4]
Linvala, Keeper of Silence [ROE]                   17.1      19.7      bifidus[1] ComparePrices[4] pisiiki2[1]

=== Worldwake === [Total Buy/Sell Value: 78/91] ==================================================================================================

Strength of the Tajuru [WWK]                       0.016     0.034     supernova01[1]
Quest for Ula's Temple [WWK]                       0.016     0.034     supernova01[3] tina16[1]
Archon of Redemption [WWK]                         0.018     0.036     supernova01[1] bifidus[1]
Selective Memory [WWK]                             0.018     0.036     bifidus[1] pisiiki2[1]
Goliath Sphinx [WWK]                               0.018     0.038     pisiiki2[3] supernova01[2]
Mordant Dragon [WWK]                               0.02
Thada Adel, Acquisitor [WWK]                       0.02      0.04      mteamtester[1] supernova01[1] ComparePrices[3]
Seer's Sundial [WWK]                               0.026
Bazaar Trader [WWK]                                0.026     0.05      tina16[1]
Terra Eternal [WWK]                                0.026
Stone Idol Trap [WWK]                              0.026
Marshal's Anthem [WWK]                             0.028
Kazuul, Tyrant of the Cliffs [WWK]                 0.034     0.064     supernova01[1]
Wolfbriar Elemental [WWK]                          0.034     0.064     ComparePrices[1] supernova01[2]
Talus Paladin [WWK]                                0.034     0.064     mteamtester[1]
Agadeem Occultist [WWK]                            0.034     0.064     supernova01[2]
Quest for the Nihil Stone [WWK]                    0.036
Jwari Shapeshifter [WWK]                           0.036     0.068     supernova01[1]
Chain Reaction [WWK]                               0.038
Butcher of Malakir [WWK]                           0.038     0.07      tina16[1] bifidus[2] supernova01[2]
Harabaz Druid [WWK]                                0.04      0.074     supernova01[1]
Anowon, the Ruin Sage [WWK]                        0.046
Comet Storm [WWK]                                  0.18      0.24      bifidus[1] supernova01[1]
Terastodon [WWK]                                   0.195
Kalastria Highborn [WWK]                           0.2
Novablast Wurm [WWK]                               0.2       0.27      bifidus[1]
Lavaclaw Reaches [WWK]                             0.24
Death's Shadow [WWK]                               0.31
Wrexial, the Risen Deep [WWK]                      0.4       0.54      bifidus[1]
Stirring Wildwood [WWK]                            0.42
Lodestone Golem [WWK]                              0.42      0.58      ComparePrices[1] supernova02[1]
Admonition Angel [WWK]                             0.5
Joraga Warcaller [WWK]                             0.56
Basilisk Collar [WWK]                              0.64
Amulet of Vigor [WWK]                              0.76
Raging Ravine [WWK]                                1.15
Stoneforge Mystic [WWK]                            1.3       1.65      pisiiki2[2] ComparePrices[1]
Omnath, Locus of Mana [WWK]                        1.55      1.95      ComparePrices[1] tina16[1] bifidus[1] supernova01[2] mteamtester[1]
Abyssal Persecutor [WWK]                           1.65      2.05      tina16[1]
Dragonmaster Outcast [WWK]                         2.05
Creeping Tar Pit [WWK]                             2.1       2.5       pisiiki2[1]
Avenger of Zendikar [WWK]                          4.15
Eye of Ugin [WWK]                                  4.8       5.9       ComparePrices[1] pisiiki3[1]
Celestial Colonnade [WWK]                          5.35
Jace, the Mind Sculptor [WWK]                      49

=== Garruk vs Liliana === [Total Buy/Sell Value: 3/4] ============================================================================================

Ravenous Baloth [DDD]                              0.032     0.06      tina16[2] ComparePrices[1]
Skeletal Vampire [DDD]                             0.034     0.062     pisiiki2[2] supernova01[2]
Plated Slagwurm [DDD]                              0.034     0.064     pisiiki2[2] ComparePrices[2]
Rude Awakening [DDD]                               0.105     0.145     supernova01[1] pisiiki3[1] supernova02[2]
Bad Moon [DDD]                                     0.36
Mutilate [DDD]                                     3.1       3.65      pisiiki3[1]

=== Exodus === [Total Buy/Sell Value: 66/77] =====================================================================================================

Entropic Specter [EX]                              0.012     0.028     pisiiki3[2] pisiiki2[4] tina16[2]
Thalakos Drifters [EX]                             0.012     0.028     bifidus[1] mteamtester[1]
Thopter Squadron [EX]                              0.016     0.032     supernova01[1] pisiiki3[4]
Volrath's Dungeon [EX]                             0.02      0.04      bifidus[2] pisiiki3[1]
Ogre Shaman [EX]                                   0.018     0.036     supernova01[1] bifidus[2] mteamtester[1]
Mindless Automaton [EX]                            0.018     0.036     pisiiki3[1] tina16[3] bifidus[3]
Memory Crystal [EX]                                0.018     0.038     pisiiki2[3] pisiiki3[1] supernova01[4] ComparePrices[1] supernova02[1]
Exalted Dragon [EX]                                0.022     0.042     bifidus[3]
Oath of Scholars [EX]                              0.022     0.044     bifidus[2] supernova02[1] tina16[4]
Convalescence [EX]                                 0.024     0.046     bifidus[1] supernova02[1]
Fighting Chance [EX]                               0.024     0.048     tina16[4]
Workhorse [EX]                                     0.026     0.05      pisiiki3[4] pisiiki2[4] mteamtester[1] supernova01[1]
Ephemeron [EX]                                     0.026     0.05      tina16[2]
Wall of Nets [EX]                                  0.028     0.054     bifidus[2] ComparePrices[1]
Pit Spawn [EX]                                     0.028     0.054     supernova01[1] tina16[1] supernova02[1] bifidus[1]
Spike Hatcher [EX]                                 0.03      0.058     supernova01[1] bifidus[1] supernova02[1] mteamtester[1] ComparePrices[1]
Monstrous Hound [EX]                               0.032     0.058     supernova01[1] pisiiki3[1] ComparePrices[1] supernova02[1] pisiiki2[1]
Oath of Lieges [EX]                                0.032     0.06      pisiiki2[4] supernova02[1] ComparePrices[1] tina16[1]
Oath of Mages [EX]                                 0.036     0.066     supernova02[1] tina16[1] mteamtester[2]
Mirri, Cat Warrior [EX]                            0.038     0.068     pisiiki2[1] bifidus[2]
Dominating Licid [EX]                              0.04      0.074     supernova02[1] pisiiki2[4]
Oath of Ghouls [EX]                                0.042     0.076     tina16[2]
Skyshroud War Beast [EX]                           0.042
Ravenous Baboons [EX]                              0.048     0.086     supernova02[1] tina16[1]
Null Brooch [EX]                                   0.05      0.092     supernova01[1] bifidus[1]
Plaguebearer [EX]                                  0.056     0.098     supernova02[1] bifidus[1] mteamtester[1]
Pandemonium [EX]                                   0.062     0.105     ComparePrices[1] tina16[1]
Limited Resources [EX]                             0.062     0.11      ComparePrices[1]
Paladin en-Vec [EX]                                0.125     0.17      tina16[2]
Equilibrium [EX]                                   0.135     0.18      pisiiki3[2] mteamtester[1]
Erratic Portal [EX]                                0.195     0.26      supernova02[1] pisiiki3[1] tina16[2]
Ertai, Wizard Adept [EX]                           0.3       0.4       bifidus[1] supernova02[1]
Manabond [EX]                                      0.38
Coat of Arms [EX]                                  0.4       0.54      pisiiki2[1]
Seismic Assault [EX]                               0.56      0.74      mteamtester[1] bifidus[2]
Mind Over Matter [EX]                              0.56      0.76      bifidus[1] tina16[1] pisiiki2[1]
Cataclysm [EX]                                     0.6       0.8       tina16[2] bifidus[2]
Hatred [EX]                                        0.7       0.94      tina16[1] supernova02[1]
Spike Weaver [EX]                                  1.15      1.45      supernova01[1] mteamtester[1]
Recurring Nightmare [EX]                           2.6       3.05      bifidus[1]
Sphere of Resistance [EX]                          7         8.6       mteamtester[1]
Oath of Druids [EX]                                8.95      10.9      pisiiki2[1]
Survival of the Fittest [EX]                       9.85      11.3      mteamtester[1]
City of Traitors [EX]                              32        35.5      supernova01[1]

=== Theme Deck Set === [Total Buy/Sell Value: 23/28] =============================================================================================

Mangara of Corondor [TD0]                          0.006     0.016     pisiiki3[1] ComparePrices[3] bifidus[1]
Silence [TD0]                                      0.022     0.042     ComparePrices[1] pisiiki2[1] bifidus[1]
Avatar of Woe [TD0]                                0.026
Serra Avenger [TD0]                                0.03      0.056     mteamtester[1]
Questing Phelddagrif [TD0]                                   0.06      supernova01[3] supernova02[4]
Illusionary Mask [TD0]                             0.032     0.06      bifidus[1] pisiiki3[2] tina16[3]
All Hallow's Eve [TD0]                             0.06      0.105     mteamtester[4]
Ethersworn Canonist [TD0]                          0.11      0.15      pisiiki2[3]
Weathered Wayfarer [TD0]                           0.195     0.26      bifidus[3]
Flagstones of Trokair [TD0]                        0.22
Concordant Crossroads [TD0]                        0.42      0.56      supernova02[1]
Copy Enchantment [TD0]                             0.46      0.62      ComparePrices[1]
Decree of Justice [TD0]                            0.48      0.64      pisiiki3[2]
Golgari Grave-Troll [TD0]                          0.68      0.9       tina16[3]
Vampiric Dragon [TD0]                              0.72      0.96      supernova01[2]
Mirari's Wake [TD0]                                0.72
Stoneforge Mystic [TD0]                            1
Karakas [TD0]                                      1.1
